;"D614G";"beta";"delta";"BA.1";"BA.5";"XBB.1.5"
"NIBSC_20/338";"4360,37075";"3676,01285";"8155,61376";"641,636751";"1466,73453";"51,4700455"
"NIBSC_20/338";"9331,31843";"2680,63433";"4400,27017";"693,998152";"1213,60143";"41,4027814"
